feature,importance_gain,importance_split
sales_lag_1,1030743077839868.0,2634
sales_mean_4,250112761554144.0,1328
sales_mean_8,22667692125960.0,1314
Dept,20860634416528.0,5706
weekofyear,18232924622084.0,3394
week_cos,10270440326244.0,1102
sales_lag_2,6264462513452.0,1623
sales_std_8,5622259290316.0,2181
tier,5365491220412.0,545
sales_lag_4,4438153111136.0,1574
week_sin,4332027787444.0,1368
Store,3970433237484.0,3562
Fuel_Price,877600230556.0,1289
Temperature,765121881300.0,1234
promo_intensity_log,741687722100.0,422
IsHoliday,384592340368.0,232
CPI,362262939088.0,716
month_sin,341589332056.0,201
Unemployment,271438307656.0,414
month_cos,163279322832.0,103
store_profile,47172950288.0,55
month,3316324960.0,3
