slice__holiday,group_col,group,n_rows__holiday,base_pred_at_zero__holiday,best_promo_intensity__holiday,best_lift_vs_zero__holiday,best_lift_pct_vs_zero__holiday,turning_promo_intensity__holiday,turning_marginal__holiday,slice__non_holiday,n_rows__non_holiday,base_pred_at_zero__non_holiday,best_promo_intensity__non_holiday,best_lift_vs_zero__non_holiday,best_lift_pct_vs_zero__non_holiday,turning_promo_intensity__non_holiday,turning_marginal__non_holiday,abs_diff_best_promo,abs_diff_best_lift_pct,abs_diff_turning_promo,stable_best_promo,stable_turning_promo,stable_lift_pct,stable_all
holiday,overall,overall,5934,15768.19621611332,5322.449999999999,15.35831051824971,0.0009740055430408234,164.07999999999998,-0.006572868408758564,non_holiday,117879,15748.103085453024,5322.449999999999,34.60291984342621,0.00219727542140551,164.07999999999998,-0.009775753052397139,0.0,0.001223269878364687,0.0,True,True,True,True
holiday,tier,A_core,1499,35081.94784801758,5322.449999999999,20.827081524512323,0.0005936694739624962,164.07999999999998,-0.008857740879762155,non_holiday,30054,35110.77756114949,5322.449999999999,35.052009373364854,0.000998326206599034,164.07999999999998,-0.005434982639927774,0.0,0.0004046567326365378,0.0,True,True,True,True
holiday,tier,B_holiday,1390,11190.653403114717,5322.449999999999,8.000242866155531,0.0007149039987181453,164.07999999999998,-0.012338440076188492,non_holiday,26987,10174.813347987156,5322.449999999999,65.43866273067397,0.006431436183900066,164.07999999999998,-0.030328462734701966,0.0,0.00571653218518192,0.0,True,True,True,True
holiday,tier,C_tail,3045,8349.960030183463,5322.449999999999,16.024985821370137,0.00191916916529456,164.07999999999998,-0.0028161628417031673,non_holiday,60838,8655.176813261462,5322.449999999999,20.70270731128221,0.002391945047218622,164.07999999999998,-0.002803162529668613,0.0,0.00047277588192406214,0.0,True,True,True,True
holiday,store_profile,Core_driven_store,1061,10126.345962448826,5322.449999999999,1.3425173928499134,0.00013257668638108196,164.07999999999998,-0.003128594151460554,non_holiday,21047,10100.577840883097,5322.449999999999,4.224953714816365,0.00041828831789360044,164.07999999999998,-0.004808759142770147,0.0,0.0002857116315125185,0.0,True,True,True,True
holiday,store_profile,Tail_heavy_store,4601,16847.77869334813,5322.449999999999,14.168090117313113,0.0008409470693550233,164.07999999999998,-0.0072146020314711136,non_holiday,91378,16834.53212870874,5322.449999999999,37.33993191483387,0.002218055817016517,164.07999999999998,-0.010710881884966043,0.0,0.0013771087476614936,0.0,True,True,True,True
holiday,tier_store_profile,A_core@Tail_heavy_store,1115,38179.1011827541,5322.449999999999,20.44863198186067,0.0005355975219002152,164.07999999999998,-0.010047627427860261,non_holiday,22390,38173.50620755701,5322.449999999999,37.34281433250726,0.0009782390469837087,164.07999999999998,-0.006166961545480949,0.0,0.0004426415250834935,0.0,True,True,True,True
holiday,tier_store_profile,B_holiday@Tail_heavy_store,1119,12099.794972245252,5322.449999999999,3.467991925772367,0.00028661575950066217,164.07999999999998,-0.012978143857706795,non_holiday,21722,10972.810485027348,5322.449999999999,67.88292314718092,0.0061864663788560575,164.07999999999998,-0.03192618330893414,0.0,0.005899850619355395,0.0,True,True,True,True
holiday,tier_store_profile,C_tail@Core_driven_store,538,5022.571959780152,5322.449999999999,0.3385298986586349,6.740170203025882e-05,164.07999999999998,-0.0010283266402314434,non_holiday,10744,5042.493268746713,5322.449999999999,2.3976052152356715,0.00047548010229304374,164.07999999999998,-0.0011072439680113889,0.0,0.0004080784002627849,0.0,True,True,True,True
holiday,tier_store_profile,C_tail@Tail_heavy_store,2367,9044.047898344526,5322.449999999999,16.268050276734357,0.0017987576425498755,164.07999999999998,-0.0031553596907831793,non_holiday,47266,9420.083855502515,5322.449999999999,23.301947044510598,0.0024736453944514867,164.07999999999998,-0.0031134460721332453,0.0,0.0006748877519016112,0.0,True,True,True,True
