slice,group_col,group,n_rows,base_pred_at_zero,best_promo_intensity,best_lift_vs_zero,best_lift_pct_vs_zero,turning_promo_intensity,turning_marginal
holiday,overall,overall,5934,15768.19621611332,5322.449999999999,15.35831051824971,0.0009740055430408234,164.07999999999998,-0.006572868408758564
holiday,tier,A_core,1499,35081.94784801758,5322.449999999999,20.827081524512323,0.0005936694739624962,164.07999999999998,-0.008857740879762155
holiday,tier,B_holiday,1390,11190.653403114717,5322.449999999999,8.000242866155531,0.0007149039987181453,164.07999999999998,-0.012338440076188492
holiday,tier,C_tail,3045,8349.960030183463,5322.449999999999,16.024985821370137,0.00191916916529456,164.07999999999998,-0.0028161628417031673
holiday,store_profile,Core_driven_store,1061,10126.345962448826,5322.449999999999,1.3425173928499134,0.00013257668638108196,164.07999999999998,-0.003128594151460554
holiday,store_profile,Tail_heavy_store,4601,16847.77869334813,5322.449999999999,14.168090117313113,0.0008409470693550233,164.07999999999998,-0.0072146020314711136
holiday,tier_store_profile,A_core@Tail_heavy_store,1115,38179.1011827541,5322.449999999999,20.44863198186067,0.0005355975219002152,164.07999999999998,-0.010047627427860261
holiday,tier_store_profile,B_holiday@Tail_heavy_store,1119,12099.794972245252,5322.449999999999,3.467991925772367,0.00028661575950066217,164.07999999999998,-0.012978143857706795
holiday,tier_store_profile,C_tail@Core_driven_store,538,5022.571959780152,5322.449999999999,0.3385298986586349,6.740170203025882e-05,164.07999999999998,-0.0010283266402314434
holiday,tier_store_profile,C_tail@Tail_heavy_store,2367,9044.047898344526,5322.449999999999,16.268050276734357,0.0017987576425498755,164.07999999999998,-0.0031553596907831793
non_holiday,overall,overall,117879,15748.103085453024,5322.449999999999,34.60291984342621,0.00219727542140551,164.07999999999998,-0.009775753052397139
non_holiday,tier,A_core,30054,35110.77756114949,5322.449999999999,35.052009373364854,0.000998326206599034,164.07999999999998,-0.005434982639927774
non_holiday,tier,B_holiday,26987,10174.813347987156,5322.449999999999,65.43866273067397,0.006431436183900066,164.07999999999998,-0.030328462734701966
non_holiday,tier,C_tail,60838,8655.176813261462,5322.449999999999,20.70270731128221,0.002391945047218622,164.07999999999998,-0.002803162529668613
non_holiday,store_profile,Core_driven_store,21047,10100.577840883097,5322.449999999999,4.224953714816365,0.00041828831789360044,164.07999999999998,-0.004808759142770147
non_holiday,store_profile,Holiday_driven_store,5454,19339.549859901552,5322.449999999999,105.97482377590495,0.005479694436716555,164.07999999999998,-0.013275958104023945
non_holiday,store_profile,Tail_heavy_store,91378,16834.53212870874,5322.449999999999,37.33993191483387,0.002218055817016517,164.07999999999998,-0.010710881884966043
non_holiday,tier_store_profile,A_core@Core_driven_store,6329,23372.73876564725,5322.449999999999,7.122647270818561,0.0003047416625939993,164.07999999999998,-0.002279843601283919
non_holiday,tier_store_profile,A_core@Holiday_driven_store,1335,39392.090777381214,5322.449999999999,129.03988181647583,0.0032757814898865443,164.07999999999998,-0.008116531165223104
non_holiday,tier_store_profile,A_core@Tail_heavy_store,22390,38173.50620755701,5322.449999999999,37.34281433250726,0.0009782390469837087,164.07999999999998,-0.006166961545480949
non_holiday,tier_store_profile,B_holiday@Core_driven_store,3974,2638.210993928144,13199.380000000023,4.881258430701109,0.0018502153322593796,164.07999999999998,-0.018843632192568002
non_holiday,tier_store_profile,B_holiday@Holiday_driven_store,1291,19947.36481525549,5322.449999999999,211.74038627681875,0.010614955320558554,164.07999999999998,-0.038798664330997955
non_holiday,tier_store_profile,B_holiday@Tail_heavy_store,21722,10972.810485027348,5322.449999999999,67.88292314718092,0.0061864663788560575,164.07999999999998,-0.03192618330893414
non_holiday,tier_store_profile,C_tail@Core_driven_store,10744,5042.493268746713,5322.449999999999,2.3976052152356715,0.00047548010229304374,164.07999999999998,-0.0011072439680113889
non_holiday,tier_store_profile,C_tail@Holiday_driven_store,2828,9595.974459548912,5322.449999999999,46.80396321265107,0.004877458085153265,164.07999999999998,-0.004060265467584579
non_holiday,tier_store_profile,C_tail@Tail_heavy_store,47266,9420.083855502515,5322.449999999999,23.301947044510598,0.0024736453944514867,164.07999999999998,-0.0031134460721332453
